model_variant,dataset_fraction,resolution,dataset_size,epochs,batch_size,device,device_name,timestamp,mAP50,mAP50_95,precision,recall,f1,flops,params,model_size_mb,inference_time_ms,inference_std_ms,fps,gpu_memory_mb,train_loss,val_loss
yolo11l.pt,0.25,640,1795,50,32,cuda,NVIDIA A2,2025-11-02 13:30:38,0.530485348714006,0.38515786843077265,0.6460940135782186,0.5756181713628522,0.0,43806745600.0,25372160.0,48.50123691558838,33.238234519958496,0.27627390994054524,30.085833812849835,14335.96923828125,0.0,0.0
yolo11x.pt,0.25,416,1795,50,32,cuda,NVIDIA A2,2025-11-02 14:30:35,0.48277417765375413,0.3340087078245727,0.6376215059242063,0.5221391604370328,0.0,41396282304.0,56966176.0,108.64650058746338,30.57305335998535,0.3757946547806605,32.708542003489285,10048.1767578125,0.0,0.0
yolo11l.pt,0.5,416,3590,50,32,cuda,NVIDIA A2,2025-11-02 15:39:07,0.509146334945927,0.36252038735082726,0.6794590336357036,0.5192639447958597,0.0,18508350016.0,25372160.0,48.47318649291992,18.755664825439453,0.9476907510880987,53.31722491882233,6591.06396484375,0.0,0.0
yolo11x.pt,0.5,416,3590,50,32,cuda,NVIDIA A2,2025-11-02 17:36:53,0.5079372770898019,0.3610267108047955,0.6595824258918849,0.5426084588907226,0.0,41396282304.0,56966176.0,108.64616012573242,30.163941383361816,0.22470114037180058,33.15216626669324,10103.3642578125,0.0,0.0
yolo11l.pt,1.0,416,7181,50,32,cuda,NVIDIA A2,2025-11-02 19:51:35,0.5320198131722493,0.38387530791383107,0.6720328252535898,0.5526164462334675,0.0,18508350016.0,25372160.0,48.47324752807617,18.307547569274902,0.3365957565875075,54.62228057668821,8154.73681640625,0.0,0.0
yolo11x.pt,1.0,416,7181,50,32,cuda,NVIDIA A2,2025-11-02 23:49:11,0.533265731607997,0.38870333504093274,0.6785837682076422,0.5560667050028753,0.0,41396282304.0,56966176.0,108.64616012573242,30.528221130371094,0.4974398413573818,32.756576144069754,12367.8291015625,0.0,0.0
yolo11m.pt,0.1,416,718,50,32,cuda,NVIDIA A2,2025-11-04 13:43:22,0.5198536195728702,0.3693397822456255,0.6675896448977695,0.5312431517223335,0.0,14476621120.0,20114688.0,38.38555335998535,15.88164806365967,2.9420009965783738,62.9657574573886,5197.24072265625,0.0,0.0
yolo11m.pt,0.1,640,718,50,32,cuda,NVIDIA A2,2025-11-04 15:37:59,0.5526750319954635,0.40915577911563067,0.6601544505031296,0.5796434732604946,0.0,34264192000.0,20114688.0,38.41326332092285,26.991419792175293,0.5876254372384895,37.048810610914806,11405.93310546875,0.0,0.0
yolo11m.pt,0.25,416,1795,50,32,cuda,NVIDIA A2,2025-11-04 16:31:21,0.5198536195728702,0.3693397822456255,0.6675896448977695,0.5312431517223335,0.0,14476621120.0,20114688.0,38.38577747344971,14.241275787353516,0.10713666746075919,70.21842810515729,5197.24072265625,0.0,0.0
yolo11m.pt,0.25,640,1795,50,32,cuda,NVIDIA A2,2025-11-04 18:25:29,0.5526750319954635,0.40915577911563067,0.6601544505031296,0.5796434732604946,0.0,34264192000.0,20114688.0,38.41348743438721,26.782569885253906,0.30017017488496156,37.337716443356896,11405.93310546875,0.0,0.0
yolo11m.pt,0.5,416,3590,50,32,cuda,NVIDIA A2,2025-11-04 19:18:50,0.5198536195728702,0.3693397822456255,0.6675896448977695,0.5312431517223335,0.0,14476621120.0,20114688.0,38.38555335998535,14.299097061157227,0.14602713917394683,69.93448577368213,5197.24072265625,0.0,0.0
yolo11m.pt,0.5,640,3590,50,32,cuda,NVIDIA A2,2025-11-04 21:12:53,0.5526750319954635,0.40915577911563067,0.6601544505031296,0.5796434732604946,0.0,34264192000.0,20114688.0,38.41326332092285,26.40413761138916,0.4872810783198207,37.872852153620805,11405.93310546875,0.0,0.0
yolo11m.pt,1.0,416,7181,50,32,cuda,NVIDIA A2,2025-11-04 22:58:58,0.5367391120554511,0.39146582926361984,0.6821664796657242,0.550316273720529,0.0,14476621120.0,20114688.0,38.3856143951416,14.382781982421875,0.2638490056593614,69.52757826838817,6384.02734375,0.0,0.0
